id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2020-12-05 08:23:37,湖北,68149,0,63633,4512,0,0,,,,0,,0,0,,0
810000,2020-12-05 08:48:40,香港,6701,0,5465,112,0,0,,,,112,,42,1,,69
440000,2020-12-05 08:23:37,广东,2000,0,1956,8,0,0,,,,3,,3,0,,0
310000,2020-12-05 08:23:36,上海,1353,0,1288,7,0,0,,,,3,,3,0,,0
410000,2020-12-05 08:48:39,河南,1295,0,1265,22,0,0,,,,3,,0,0,,3
330000,2020-12-05 08:23:37,浙江,1294,0,1288,1,0,0,,,,0,,0,0,,0
430000,2020-12-05 08:23:37,湖南,1020,0,1016,4,0,0,,,,0,,0,0,,0
340000,2020-12-05 08:23:37,安徽,992,0,986,6,0,0,,,,0,,0,0,,0
650000,2020-12-05 08:23:37,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
110000,2020-12-05 08:23:37,北京,952,0,939,9,0,0,358.0,0.0,354.0,1,,1,0,,0
230000,2020-12-05 08:23:36,黑龙江,949,0,936,13,0,0,,,,0,,0,0,,0
360000,2020-12-05 08:23:36,江西,935,0,934,1,0,0,,,,0,,0,0,,0
370000,2020-12-05 08:23:37,山东,857,0,841,7,0,0,,,,0,,0,0,,0
510000,2020-12-05 08:53:39,四川,811,0,776,3,0,0,,,,3,,2,0,,1
700000,2020-12-05 08:48:39,台湾,690,0,572,7,0,0,,,,4,,0,0,,4
320000,2020-12-05 09:08:42,江苏,680,0,674,0,0,0,,,,0,,2,0,,-2
500000,2020-12-05 08:23:37,重庆,590,0,583,6,0,0,,,,0,,0,0,,0
610000,2020-12-05 08:23:37,陕西,501,0,471,3,0,0,,,,0,,0,0,,0
350000,2020-12-05 10:18:41,福建,493,0,450,1,0,0,,,,1,,0,0,,1
130000,2020-12-05 08:23:36,河北,373,0,366,6,0,0,,,,0,,0,0,,0
150000,2020-12-05 08:48:40,内蒙古,333,0,306,1,0,0,,,,2,,0,0,,0
120000,2020-12-05 09:08:42,天津,300,0,292,3,0,0,,,,0,,1,0,,-1
210000,2020-12-05 08:23:37,辽宁,289,0,287,2,0,0,,,,0,,0,0,,0
450000,2020-12-05 08:23:37,广西,263,0,260,2,0,0,,,,0,,0,0,,0
140000,2020-12-05 08:23:37,山西,222,0,218,0,0,0,,,,1,,0,0,,1
530000,2020-12-05 08:23:37,云南,219,0,210,2,0,0,,,,0,,0,0,,0
620000,2020-12-05 08:23:37,甘肃,182,0,179,2,0,0,,,,0,,0,0,,0
460000,2020-12-05 08:23:36,海南,171,0,165,6,0,0,,,,0,,0,0,,0
220000,2020-12-05 08:23:36,吉林,157,0,155,2,0,0,,,,0,,0,0,,0
520000,2020-12-05 08:23:37,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2020-12-05 08:23:37,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2020-12-05 08:23:36,澳门,46,0,46,0,0,0,,,,0,,0,0,,0
630000,2020-12-05 08:23:36,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2020-12-05 08:23:36,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
